Ref,Val,Package,PosX,PosY,Rot,Side
"T2","TCM1-63AX+","DB1627_MNC",64.880000,3.393600,90.000000,top
"T3","TCM1-63AX+","DB1627_MNC",69.560000,27.980000,90.000000,top
"T4","TCM1-63AX+","DB1627_MNC",69.210000,21.160000,90.000000,top
"T5","TCM1-63AX+","DB1627_MNC",63.750000,21.090000,90.000000,top
"T6","TCM1-63AX+","DB1627_MNC",64.020000,28.230000,180.000000,top
"T7","TCM1-63AX+","DB1627_MNC",74.540000,10.720000,90.000000,top
"T8","TCM1-63AX+","DB1627_MNC",54.530000,48.770000,-90.000000,top
"T9","TCM1-63AX+","DB1627_MNC",67.920000,48.610000,-90.000000,top
"T10","TCM1-63AX+","DB1627_MNC",70.830600,36.960000,180.000000,top
"T11","TCM1-63AX+","DB1627_MNC",53.266800,58.743600,-90.000000,top
"U1","SKY13588-460LF","QFN12_SKY",61.914000,82.959999,-90.000000,top
"U2","MAX3051","MAX3051EKA",27.760000,78.310000,0.000000,top
"U3","EP2K1+","DG1847_MNC-L",24.370000,1.710000,0.000000,top
"U4","RLP-470+","Mini-Circuits_GP731",55.500000,3.542500,0.000000,top
"U5","BFCN-5750+","Filter_Mini-Circuits_FV1206-4",47.190000,6.690000,0.000000,top
"U6","BFCN-2360+","Filter_Mini-Circuits_FV1206",46.330000,3.010000,0.000000,top
"U7","BFCN-2360+","Filter_Mini-Circuits_FV1206",42.180000,7.340000,0.000000,top
